Version: 1
Machine Type: VIVO simulator
Process Index: 0 Cumulative Reps: 0 Template Name: CurrentWave.wff

Acquisition Rate: 50 Waveform Frequency:  0.020
Time Stamp: 5 30, 2024 -- 13: 47: 44: 

Fx	Fy	Fz	Mx	My	Mz	X mm	Y mm	Z mm	Xdeg	Ydeg	Zdeg	X Wf	Y Wf	Z Wf	XaWf	YaWf	ZaWf	X Er	Y Er	Z Er	XaEr	YaEr	ZaEr
N	N	N	N-m	N-m	N-m	mm	mm	mm	deg	deg	deg	N	mm	N	deg	deg	deg	N	mm	N	deg	deg	deg
-1.0143	-3.2964	-2.4574	 0.3085	-0.2037	-0.1368	 0.8481	 0.0292	-4.0431	-0.0706	-0.0053	 0.0025	 2.0472	 0.0000	 3.3482	 0.0000	 0.0000	 0.0000	 1.1561	-0.0292	 1.3989	 0.0706	 0.0053	-0.0025
-1.8091	-3.7551	-3.8038	 0.3983	-0.3021	-0.1484	 0.8532	 0.0285	-4.0381	-0.0471	-0.0209	 0.0123	 2.1100	 0.0000	 3.4519	 0.0000	 0.0000	 0.0000	 2.0019	-0.0285	 2.8353	 0.0471	 0.0209	-0.0123
 0.0484	-4.1746	-3.7176	 0.4628	-0.0791	-0.1582	 0.8530	 0.0289	-4.0352	-0.0665	-0.0128	-0.0002	 2.1728	 0.0000	 3.5556	 0.0000	 0.0000	 0.0000	 0.2060	-0.0289	 2.8394	 0.0665	 0.0128	 0.0002
-1.0594	-3.5339	-0.4541	 0.4240	-0.1724	-0.1019	 0.8527	 0.0221	-4.0327	-0.0776	-0.0164	-0.0050	 2.2378	 0.0000	 3.6631	 0.0000	 0.0000	 0.0000	 1.3901	-0.0221	-0.3021	 0.0776	 0.0164	 0.0050
-1.6348	-3.3623	-3.6945	 0.3411	-0.3147	-0.1704	 0.8457	 0.0302	-4.0226	-0.0551	-0.0178	-0.0013	 2.3029	 0.0000	 3.7706	 0.0000	 0.0000	 0.0000	 2.0308	-0.0302	 2.9893	 0.0551	 0.0178	 0.0013
-0.9134	-3.1220	 0.7962	 0.3257	-0.2827	-0.1374	 0.8409	 0.0345	-4.0215	-0.0478	-0.0204	 0.0084	 2.3693	 0.0000	 3.8802	 0.0000	 0.0000	 0.0000	 1.3795	-0.0345	-1.4074	 0.0478	 0.0204	-0.0084
-0.2175	-3.2979	-3.5145	 0.3240	-0.1571	-0.1525	 0.8472	 0.0339	-4.0303	-0.0415	-0.0103	-0.0038	 2.4366	 0.0000	 3.9916	 0.0000	 0.0000	 0.0000	 0.7397	-0.0339	 3.0432	 0.0415	 0.0103	 0.0038
-1.3247	-3.0777	-0.5121	 0.2841	-0.3113	-0.1389	 0.8476	 0.0289	-4.0183	-0.0367	-0.0204	 0.0039	 2.5042	 0.0000	 4.1033	 0.0000	 0.0000	 0.0000	 1.9170	-0.0289	 0.1313	 0.0367	 0.0204	-0.0039
-0.5151	-3.8550	-1.5001	 0.3950	-0.1771	-0.1446	 0.8428	 0.0285	-4.0155	-0.0119	-0.0191	 0.0145	 2.5739	 0.0000	 4.2184	 0.0000	 0.0000	 0.0000	 1.1867	-0.0285	 1.2329	 0.0119	 0.0191	-0.0145
-0.2514	-3.3701	-5.3335	 0.2927	-0.1440	-0.1583	 0.8471	 0.0251	-4.0078	-0.0432	-0.0208	-0.0023	 2.6435	 0.0000	 4.3335	 0.0000	 0.0000	 0.0000	 0.9863	-0.0251	 5.1613	 0.0432	 0.0208	 0.0023
-1.2883	-3.6424	-4.4646	 0.3715	-0.3066	-0.1598	 0.8369	 0.0349	-4.0127	-0.0187	-0.0187	 0.0017	 2.7147	 0.0000	 4.4511	 0.0000	 0.0000	 0.0000	 2.1057	-0.0349	 4.3985	 0.0187	 0.0187	-0.0017
-1.6492	-3.8854	-6.6137	 0.3987	-0.2970	-0.1749	 0.8354	 0.0435	-4.0128	-0.0236	-0.0207	-0.0022	 2.7866	 0.0000	 4.5701	 0.0000	 0.0000	 0.0000	 2.5300	-0.0435	 6.6351	 0.0236	 0.0207	 0.0022
 1.2244	-5.1863	-6.7237	 0.4889	 0.1389	-0.1832	 0.8329	 0.0442	-4.0104	-0.0394	-0.0133	-0.0012	 2.8590	 0.0000	 4.6898	 0.0000	 0.0000	 0.0000	-0.2688	-0.0442	 6.8546	 0.0394	 0.0133	 0.0012
 0.2906	-4.3407	-6.6366	 0.4657	-0.0234	-0.1488	 0.8377	 0.0371	-4.0026	-0.0235	-0.0201	 0.0069	 2.9332	 0.0000	 4.8125	 0.0000	 0.0000	 0.0000	 0.7350	-0.0371	 6.8897	 0.0235	 0.0201	-0.0069
-1.2977	-3.9484	-1.5018	 0.3874	-0.2544	-0.1675	 0.8402	 0.0392	-4.0013	-0.0090	-0.0143	 0.0107	 3.0074	 0.0000	 4.9352	 0.0000	 0.0000	 0.0000	 2.3860	-0.0392	 1.8671	 0.0090	 0.0143	-0.0107
-0.9189	-3.4829	-3.6503	 0.2950	-0.1868	-0.1525	 0.8331	 0.0458	-3.9983	-0.0033	-0.0223	 0.0001	 3.0833	 0.0000	 5.0608	 0.0000	 0.0000	 0.0000	 2.0923	-0.0458	 4.1093	 0.0033	 0.0223	-0.0001
-1.7424	-2.4999	 2.9218	 0.2784	-0.4652	-0.1011	 0.8346	 0.0451	-3.9969	-0.0150	-0.0120	-0.0013	 3.1597	 0.0000	 5.1873	 0.0000	 0.0000	 0.0000	 2.9871	-0.0451	-2.3397	 0.0150	 0.0120	 0.0013
-1.4168	-3.0522	-4.2868	 0.2717	-0.2845	-0.1445	 0.8322	 0.0398	-3.9871	 0.0150	-0.0183	 0.0052	 3.2369	 0.0000	 5.3150	 0.0000	 0.0000	 0.0000	 2.7489	-0.0398	 4.9877	-0.0150	 0.0183	-0.0052
-1.4476	-3.6435	-3.3866	 0.3834	-0.1735	-0.1649	 0.8262	 0.0427	-3.9918	-0.0119	-0.0073	 0.0073	 3.3157	 0.0000	 5.4453	 0.0000	 0.0000	 0.0000	 2.8686	-0.0427	 4.2237	 0.0119	 0.0073	-0.0073
 1.2542	-4.3675	-10.7678	 0.3516	 0.2222	-0.1967	 0.8253	 0.0480	-3.9814	 0.0135	-0.0285	 0.0129	 3.3944	 0.0000	 5.5755	 0.0000	 0.0000	 0.0000	 0.2387	-0.0480	11.6829	-0.0135	 0.0285	-0.0129
-0.9781	-3.2338	-3.5060	 0.3448	-0.2729	-0.1645	 0.8274	 0.0504	-3.9695	 0.0168	-0.0182	 0.0067	 3.4751	 0.0000	 5.7091	 0.0000	 0.0000	 0.0000	 2.5366	-0.0504	 4.5056	-0.0168	 0.0182	-0.0067
